fecha_venta;familia;cantidad;gramos
2022-01-03;CHOCOLATE;1;550
2022-01-08;MENTA;1;400
2022-01-12;VAINILLA;1;1150
2022-01-13;MENTA;1;450
2022-01-15;VAINILLA;1;6200
2022-01-15;CHOCOLATE;1;300
2022-01-17;MENTA;1;500
2022-01-18;CHOCOLATE;1;500
2022-01-19;CHOCOLATE;1;800
2022-01-22;VAINILLA;1;1100
2022-01-24;MENTA;1;550
2022-01-24;FRUTILLA;1;150
2022-01-24;VAINILLA;1;1150
2022-01-25;MENTA;1;1050
2022-01-25;CHOCOLATE;1;1000
2022-01-25;FRUTILLA;1;1100
2022-01-25;FRUTILLA;1;700
2022-01-26;MENTA;1;450
2022-01-26;CHOCOLATE;1;600
2022-01-26;CHOCOLATE;1;1450
2022-01-28;CHOCOLATE;1;1950
2022-01-28;FRUTILLA;1;1100
2022-01-28;CHOCOLATE;1;800
2022-01-28;VAINILLA;1;1600
2022-01-28;FRUTILLA;1;600
2022-01-28;CHOCOLATE;1;900
2022-01-31;CHOCOLATE;1;950
2022-01-31;FRUTILLA;1;1000
2022-01-31;VAINILLA;1;1100
2022-01-31;VAINILLA;1;900
2022-02-01;CHOCOLATE;1;29950
2022-02-01;CHOCOLATE;1;550
2022-02-03;CHOCOLATE;1;2300
2022-02-03;MANGO;1;600
2022-02-05;MENTA;1;400
2022-02-07;MENTA;1;450
2022-02-08;MENTA;1;550
2022-02-09;MENTA;1;650
2022-02-09;VAINILLA;1;1050
2022-02-09;MENTA;1;400
2022-02-10;MENTA;1;950
2022-02-11;VAINILLA;1;1400
2022-02-14;MANGO;1;750
2022-02-14;CHOCOLATE;1;800
2022-02-14;FRUTILLA;1;750
2022-02-14;VAINILLA;1;1400
2022-02-15;MENTA;1;700
2022-02-15;VAINILLA;1;1700
2022-02-16;VAINILLA;1;6200
2022-02-19;VAINILLA;1;1250
2022-02-19;VAINILLA;1;1700
2022-02-21;CHOCOLATE;1;950
2022-02-22;MENTA;1;650
2022-02-22;VAINILLA;1;2400
2022-02-23;MENTA;1;350
2022-02-28;MENTA;1;950
2022-03-03;CHOCOLATE;1;1850
2022-03-04;CHOCOLATE;1;600
2022-03-04;MENTA;1;450
2022-03-05;VAINILLA;1;1400
2022-03-05;CHOCOLATE;1;2550
2022-03-10;CHOCOLATE;1;1450
2022-03-10;FRUTILLA;1;400
2022-03-17;VAINILLA;1;8350
2022-03-17;MENTA;1;400
2022-03-17;FRUTILLA;1;1100
2022-03-18;MENTA;1;400
2022-03-18;CHOCOLATE;1;1100
2022-03-18;FRUTILLA;1;800
2022-03-19;VAINILLA;1;1300
2022-03-22;MENTA;1;1600
2022-03-24;MENTA;1;450
2022-03-29;CHOCOLATE;1;800
2022-03-30;VAINILLA;1;950
2022-04-04;MANGO;1;950
2022-04-04;MENTA;1;350
2022-04-07;CHOCOLATE;1;2500
2022-04-09;CHOCOLATE;1;1800
2022-04-14;VAINILLA;1;1100
2022-04-20;FRUTILLA;1;450
2022-04-21;VAINILLA;1;2200
2022-04-22;MENTA;1;450
2022-04-22;MENTA;1;650
2022-04-22;VAINILLA;1;850
2022-05-02;CHOCOLATE;1;700
2022-05-05;MENTA;1;1550
2022-05-05;MENTA;1;500
2022-05-07;CHOCOLATE;1;1250
2022-05-10;CHOCOLATE;1;600
2022-05-10;CHOCOLATE;1;600
2022-05-12;MENTA;1;750
2022-05-13;VAINILLA;1;1200
2022-05-17;FRUTILLA;1;2450
2022-05-17;CHOCOLATE;1;900
2022-05-19;FRUTILLA;1;350
2022-05-19;CHOCOLATE;1;1000
2022-05-20;FRUTILLA;1;400
2022-05-20;MENTA;1;350
2022-05-20;CHOCOLATE;1;2150
2022-05-23;MENTA;1;450
2022-05-24;FRUTILLA;1;400
2022-05-27;VAINILLA;1;6100
2022-05-27;FRUTILLA;1;2500
2022-05-27;CHOCOLATE;1;4000
2022-05-27;FRUTILLA;1;1850
2022-05-30;VAINILLA;1;2400
2022-05-30;VAINILLA;1;3100
2022-05-30;CHOCOLATE;1;850
2022-05-31;MENTA;1;1350
2022-06-01;MENTA;1;600
2022-06-08;MENTA;1;1100
2022-06-10;MENTA;1;500
2022-06-13;MENTA;1;450
2022-06-14;MANGO;1;2950
2022-06-15;MENTA;1;450
2022-06-15;MANGO;1;550
2022-06-16;FRUTILLA;1;1450
2022-06-16;MENTA;1;800
2022-06-17;CHOCOLATE;1;2200
2022-06-17;MENTA;1;1300
2022-06-17;MENTA;1;600
2022-06-18;MENTA;1;900
2022-06-20;CHOCOLATE;1;5350
2022-06-20;VAINILLA;1;1100
2022-06-23;VAINILLA;1;6300
2022-06-29;CHOCOLATE;1;1500
2022-06-29;VAINILLA;1;800
2022-07-01;CHOCOLATE;1;2000
2022-07-01;CHOCOLATE;1;1900
2022-07-01;FRUTILLA;1;650
2022-07-01;FRUTILLA;1;950
2022-07-01;VAINILLA;1;3700
2022-07-02;VAINILLA;1;1550
2022-07-04;VAINILLA;1;6750
2022-07-04;VAINILLA;1;5950
2022-07-07;VAINILLA;1;2650
2022-07-08;FRUTILLA;1;450
2022-07-11;FRUTILLA;1;1750
2022-07-11;CHOCOLATE;1;500
2022-07-12;CHOCOLATE;1;1000
2022-07-14;MENTA;1;650
2022-07-19;FRUTILLA;1;450
2022-07-20;MENTA;1;350
2022-07-22;VAINILLA;1;450
2022-07-29;MENTA;1;500
2022-08-02;CHOCOLATE;1;750
2022-08-05;MENTA;1;350
2022-08-08;CHOCOLATE;1;2000
2022-08-12;MENTA;1;350
2022-08-13;MENTA;1;350
2022-08-18;VAINILLA;1;1850
2022-08-18;MENTA;1;500
2022-08-20;VAINILLA;1;1650
2022-08-20;FRUTILLA;1;450
2022-08-22;FRUTILLA;1;300
2022-08-22;MENTA;1;850
2022-08-22;VAINILLA;1;1050
2022-08-22;MENTA;1;500
2022-08-24;FRUTILLA;1;750
2022-08-25;VAINILLA;1;950
2022-08-25;MENTA;1;750
2022-08-29;FRUTILLA;1;150
2022-08-29;FRUTILLA;1;900
2022-08-29;MENTA;1;1050
2022-08-30;MENTA;1;800
2022-08-31;FRUTILLA;1;2200
2022-08-31;CHOCOLATE;1;4050
2022-08-31;VAINILLA;1;950
2022-09-02;MENTA;1;600
2022-09-05;MENTA;1;1350
2022-09-06;CHOCOLATE;1;1100
2022-09-06;FRUTILLA;1;450
2022-09-07;VAINILLA;1;1150
2022-09-07;VAINILLA;1;950
2022-09-09;VAINILLA;1;1100
2022-09-10;MENTA;1;1100
2022-09-12;MENTA;1;600
2022-09-13;CHOCOLATE;1;1000
2022-09-15;MENTA;1;450
2022-09-15;FRUTILLA;1;450
2022-09-15;CHOCOLATE;1;800
2022-09-20;VAINILLA;1;1250
2022-09-26;VAINILLA;1;1400
2022-09-28;MENTA;1;450
2022-09-30;FRUTILLA;1;700
2022-09-30;CHOCOLATE;1;600
2022-10-01;MENTA;1;600
2022-10-01;VAINILLA;1;1100
2022-10-01;MENTA;1;550
2022-10-01;CHOCOLATE;1;1000
2022-10-04;VAINILLA;1;1700
2022-10-07;VAINILLA;1;1000
2022-10-12;MENTA;1;500
2022-10-12;MENTA;1;550
2022-10-12;MENTA;1;450
2022-10-12;VAINILLA;1;2500
2022-10-14;MENTA;1;450
2022-10-19;FRUTILLA;1;300
